Customer #	Interarrival Time(min)	Service Time (min)
1	6.05	4.68
2	2.91	1.46
3	3.92	3.47
4	4.49	2.15
5	5.09	2.10
6	6.92	3.27
7	4.37	3.06
8	3.87	2.62
9	3.29	3.48
10	2.75	4.01
11	4.19	3.82
12	4.95	3.06
13	2.75	2.71
14	4.17	0.90
15	2.45	3.20
16	4.60	2.79
17	3.82	1.63
18	4.36	3.81
19	3.75	3.60
20	4.84	2.49
21	3.94	3.29
22	3.71	1.58
23	3.76	4.17
24	3.71	0.92
25	3.42	1.85
26	1.60	1.82
27	3.93	2.61
28	5.06	1.81
29	4.66	2.68
30	5.49	3.48
31	5.32	1.56
32	5.60	3.51
33	4.67	4.07
34	3.84	2.72
35	4.98	1.66
36	3.30	1.12
37	3.20	2.48
38	4.23	4.94
39	2.31	1.89
40	4.56	1.28
41	2.13	3.38
42	4.07	3.83
43	4.21	3.60
44	4.21	3.24
45	4.01	2.83
46	4.73	4.12
47	4.25	2.57
48	4.45	2.73
49	3.26	3.42
50	3.84	1.93
51	4.12	2.33
52	4.26	2.39
53	3.93	1.39
54	3.92	4.06
55	4.82	4.97
56	4.13	3.22
57	6.04	2.57
58	5.18	3.25
59	2.41	1.47
60	3.07	4.46
61	3.15	4.28
62	4.58	2.55
63	3.85	2.36
64	4.83	2.80
65	4.48	3.18
66	4.28	2.29
67	3.01	4.94
68	3.90	3.59
69	3.59	3.91
70	3.85	2.48
71	3.36	3.19
72	4.80	3.19
73	3.21	2.65
74	3.39	2.57
75	5.15	3.87
76	3.75	3.84
77	3.67	1.89
78	4.55	3.45
79	3.86	2.52
80	1.42	6.15
81	3.76	5.55
82	3.69	4.51
83	4.90	2.41
84	3.65	3.36
85	5.79	3.20
86	4.08	3.04
87	4.99	0.94
88	4.07	2.46
89	5.12	3.98
90	5.09	2.51
91	5.34	3.50
92	3.64	3.02
93	4.68	4.82
94	2.11	1.99
95	4.40	1.53
96	4.19	4.94
97	3.45	1.52
98	4.92	1.91
99	3.76	3.55
100	3.64	3.72
101	3.44	1.93
102	4.02	3.11
103	4.13	1.72
104	5.49	4.62
105	3.99	4.02
106	4.67	2.50
107	5.47	4.26
108	2.34	2.29
109	7.15	3.03
110	0.60	3.83
111	4.51	2.96
112	4.19	3.76
113	3.64	2.44
114	5.33	2.94
115	5.99	1.57
116	1.36	3.47
117	5.17	2.66
118	1.44	2.78
119	6.11	4.02
120	4.52	3.24
121	3.94	2.35
122	4.09	1.49
123	4.62	3.22
124	4.95	2.77
125	4.72	3.50
126	5.99	4.81
127	3.93	2.58
128	3.46	3.58
129	4.32	1.90
130	3.58	3.31
131	4.35	2.79
132	5.51	4.30
133	4.19	3.28
134	4.55	3.87
135	5.05	2.43
136	4.28	2.44
137	3.05	0.44
138	5.05	2.15
139	4.61	3.14
140	3.19	4.60
141	3.87	0.17
142	4.09	0.82
143	2.63	4.26
144	3.11	2.58
145	4.23	4.80
146	5.69	1.07
147	4.16	2.30
148	5.43	2.90
149	4.73	3.63
150	5.96	2.61
151	4.29	1.87
152	3.99	2.38
153	3.13	5.25
154	5.34	1.91
155	3.46	3.02
156	4.11	3.92
157	4.50	3.54
158	2.93	3.75
159	4.57	4.54
160	4.13	2.62
161	2.94	2.01
162	3.04	2.61
163	3.86	4.23
164	3.67	2.27
165	4.35	3.60
166	3.39	3.01
167	4.53	1.82
168	3.72	2.32
169	2.89	3.31
170	1.77	2.72
171	5.15	1.56
172	4.43	3.26
173	4.27	3.13
174	4.63	4.97
175	3.33	0.29
176	3.09	4.24
177	3.87	3.95
178	5.82	1.81
179	4.54	3.57
180	3.60	2.59
181	3.09	1.27
182	4.92	1.40
183	2.64	2.01
184	3.22	2.02
185	3.71	3.55
186	3.62	3.48
187	4.37	4.33
188	4.76	2.66
189	3.44	4.03
190	3.58	3.55
191	3.79	4.30
192	3.94	0.97
193	4.24	1.54
194	3.00	2.88
195	5.52	5.05
196	2.66	3.86
197	3.74	3.65
198	3.26	3.39
199	4.53	3.98
200	3.62	3.46
201	5.62	3.67
202	3.46	3.43
203	4.27	2.23
204	1.26	5.05
205	2.98	2.87
206	3.82	3.51
207	4.94	4.10
208	3.31	3.05
209	4.15	3.51
210	4.40	2.39
211	4.10	3.55
212	5.06	1.95
213	4.35	3.76
214	4.64	5.05
215	3.20	2.98
216	3.92	2.81
217	5.04	2.33
218	5.33	1.86
219	3.28	2.53
220	3.47	2.39
221	3.47	2.69
222	2.72	1.93
223	4.25	4.10
224	4.63	1.64
225	5.42	4.73
226	5.69	3.67
227	4.41	3.63
228	3.17	2.46
229	4.42	3.66
230	6.02	2.65
231	4.91	4.35
232	3.03	0.82
233	4.64	4.71
234	3.41	1.21
235	3.51	2.79
236	3.92	5.12
237	5.38	3.85
238	3.96	3.16
239	3.18	2.16
240	5.54	2.16
241	2.26	2.38
242	2.11	2.96
243	3.28	4.15
244	3.94	0.73
245	4.96	4.83
246	3.96	3.65
247	3.80	4.16
248	4.57	3.10
249	3.78	2.30
250	3.43	3.17
251	4.77	3.11
252	2.77	2.85
253	3.86	2.84
254	2.18	2.03
255	3.05	2.39
256	4.22	2.53
257	3.27	3.39
258	4.65	2.04
259	5.22	0.96
260	5.03	2.80
261	2.06	3.29
262	2.81	3.40
263	4.93	2.21
264	3.42	2.81
265	2.45	3.74
266	3.89	3.01
267	4.81	2.10
268	4.68	4.03
269	4.35	4.26
270	4.37	4.30
271	3.80	3.94
272	1.89	3.42
273	4.25	2.28
274	3.45	3.66
275	2.95	2.00
276	5.36	3.69
277	3.58	4.46
278	2.50	2.75
279	2.76	2.85
280	5.77	1.81
281	4.27	2.56
282	5.61	4.26
283	3.93	2.85
284	4.59	2.10
285	2.57	3.88
286	2.48	2.61
287	2.84	4.11
288	2.74	4.18
289	4.56	3.61
290	5.18	2.53
291	4.39	2.40
292	2.73	2.26
293	4.81	3.87
294	3.65	4.53
295	4.49	3.76
296	4.17	2.42
297	3.54	2.69
298	3.38	3.04
299	4.05	2.57
300	2.49	2.51
301	4.84	4.34
302	2.38	4.01
303	4.42	1.72
304	3.65	3.42
305	5.29	3.44
306	3.67	1.75
307	5.03	2.75
308	4.00	3.55
309	4.45	4.26
310	4.22	2.28
311	5.02	3.70
312	3.41	3.96
313	2.78	3.26
314	3.76	3.03
315	4.46	0.69
316	3.19	3.40
317	5.55	2.35
318	2.55	2.90
319	3.61	1.27
320	5.17	1.91
321	5.12	3.45
322	4.09	2.31
323	4.23	2.17
324	3.41	2.16
325	3.48	3.06
326	3.51	4.55
327	4.77	3.72
328	2.57	1.46
329	3.76	3.14
330	3.39	2.55
